,age,fee_cleaned,Potential,Value(MGBP),Wage(kGBP),International Reputation,Weak Foot,Skill Moves,year of contact,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Overall Rating
41,24,21.6,81.0,13.5,50.0,2.0,3.0,3.0,5.0,48.0,83.0,81.0,69.0,72.0,75.0,49.0,43.0,48.0,78.0,73.0,71.0,71.0,69.0,72.0,76.0,91.0,75.0,80.0,62.0,72.0,22.0,85.0,65.0,75.0,74.0,27.0,20.0,8.0,15.0,7.0,15.0,15.0,77.0
42,19,15.75,85.0,8,20.0,1.0,3.0,2.0,5.0,57.0,26.0,70.0,77.0,26.0,46.0,31.0,29.0,62.0,64.0,69.0,74.0,68.0,69.0,51.0,60.0,74.0,79.0,72.0,33.0,69.0,73.0,37.0,42.0,33.0,73.0,76.0,70.0,14.0,9.0,11.0,6.0,7.0,73.0
43,28,11.25,80.0,12,60.0,2.0,4.0,2.0,4.0,43.0,39.0,75.0,74.0,54.0,58.0,33.0,30.0,69.0,60.0,67.0,72.0,63.0,78.0,61.0,73.0,73.0,86.0,76.0,62.0,82.0,80.0,49.0,65.0,34.0,81.0,86.0,88.0,13.0,7.0,8.0,14.0,15.0,79.0
44,23,1.8,82.0,10,40.0,2.0,3.0,2.0,4.0,42.0,57.0,72.0,76.0,45.0,70.0,51.0,46.0,69.0,77.0,66.0,66.0,67.0,75.0,72.0,60.0,82.0,79.0,73.0,63.0,88.0,81.0,46.0,69.0,47.0,69.0,77.0,69.0,6.0,11.0,9.0,10.0,7.0,76.0
45,25,5.85,80.0,10.5,30.0,2.0,3.0,2.0,3.0,44.0,24.0,90.0,54.0,44.0,40.0,40.0,43.0,50.0,52.0,61.0,63.0,53.0,69.0,60.0,68.0,91.0,62.0,90.0,58.0,92.0,64.0,35.0,44.0,46.0,60.0,81.0,80.0,11.0,10.0,12.0,9.0,10.0,77.0
46,23,0.9,77.0,4.3,20.0,1.0,3.0,3.0,4.0,76.0,39.0,70.0,70.0,48.0,72.0,64.0,49.0,68.0,72.0,77.0,87.0,69.0,64.0,61.0,61.0,81.0,77.0,80.0,49.0,71.0,62.0,65.0,61.0,40.0,59.0,73.0,73.0,15.0,15.0,12.0,6.0,6.0,72.0
47,19,10.35,82.0,4.9,20.0,1.0,3.0,3.0,5.0,51.0,72.0,75.0,64.0,54.0,74.0,38.0,42.0,36.0,73.0,79.0,79.0,73.0,68.0,63.0,73.0,65.0,73.0,78.0,53.0,66.0,16.0,64.0,65.0,60.0,65.0,24.0,18.0,12.0,15.0,12.0,5.0,10.0,71.0
48,22,4.5,79.0,3.7,30.0,1.0,3.0,2.0,5.0,74.0,32.0,48.0,72.0,28.0,71.0,64.0,66.0,64.0,72.0,78.0,76.0,78.0,70.0,80.0,61.0,61.0,73.0,66.0,56.0,68.0,75.0,70.0,50.0,42.0,63.0,74.0,64.0,7.0,10.0,8.0,7.0,7.0,72.0
49,33,1.35,76.0,3,60.0,2.0,3.0,2.0,2.0,78.0,42.0,63.0,75.0,33.0,72.0,62.0,49.0,68.0,71.0,67.0,68.0,69.0,75.0,71.0,66.0,78.0,77.0,70.0,52.0,69.0,81.0,51.0,60.0,87.0,79.0,76.0,80.0,7.0,10.0,14.0,9.0,12.0,76.0
50,19,0.9,84.0,8.5,20.0,1.0,3.0,2.0,5.0,35.0,33.0,77.0,69.0,18.0,46.0,34.0,31.0,59.0,68.0,63.0,74.0,62.0,74.0,60.0,62.0,68.0,61.0,76.0,35.0,68.0,77.0,33.0,44.0,38.0,69.0,79.0,67.0,6.0,10.0,10.0,9.0,14.0,74.0
51,20,6.3,79.0,1.3,15.0,1.0,3.0,3.0,5.0,67.0,29.0,54.0,67.0,36.0,63.0,53.0,35.0,44.0,65.0,76.0,83.0,66.0,67.0,61.0,45.0,66.0,63.0,72.0,32.0,66.0,63.0,46.0,44.0,49.0,50.0,72.0,65.0,5.0,15.0,6.0,12.0,10.0,67.0
52,31,0.9,77.0,8,2.0,2.0,4.0,4.0,3.0,76.0,73.0,42.0,76.0,65.0,81.0,74.0,67.0,70.0,80.0,77.0,74.0,84.0,74.0,85.0,75.0,69.0,67.0,54.0,75.0,74.0,72.0,74.0,74.0,66.0,72.0,64.0,63.0,15.0,10.0,12.0,11.0,13.0,77.0
53,30,11.7,79.0,12.5,120.0,2.0,4.0,2.0,3.0,49.0,83.0,88.0,63.0,76.0,65.0,55.0,54.0,42.0,74.0,53.0,55.0,53.0,79.0,50.0,85.0,61.0,68.0,90.0,72.0,88.0,19.0,83.0,47.0,66.0,72.0,39.0,12.0,6.0,15.0,8.0,7.0,12.0,78.0
54,32,1.03,74.0,3.2,40.0,2.0,3.0,2.0,3.0,49.0,38.0,76.0,68.0,26.0,51.0,25.0,32.0,63.0,60.0,61.0,61.0,56.0,75.0,57.0,44.0,78.0,63.0,72.0,28.0,66.0,79.0,44.0,52.0,46.0,72.0,74.0,72.0,12.0,10.0,16.0,14.0,7.0,73.0
55,22,19.35,86.0,10,30.0,1.0,3.0,2.0,5.0,38.0,39.0,75.0,74.0,33.0,58.0,32.0,27.0,73.0,75.0,69.0,78.0,69.0,74.0,66.0,40.0,74.0,77.0,78.0,30.0,59.0,74.0,31.0,46.0,40.0,74.0,77.0,74.0,10.0,9.0,13.0,6.0,9.0,74.0
56,17,2.7,87.0,1.5,10.0,1.0,3.0,3.0,4.0,65.0,64.0,43.0,73.0,64.0,71.0,65.0,60.0,62.0,70.0,74.0,69.0,78.0,52.0,85.0,66.0,52.0,51.0,34.0,62.0,39.0,28.0,54.0,60.0,61.0,58.0,37.0,36.0,11.0,7.0,9.0,11.0,10.0,66.0
57,28,57.38,87.0,52,225.0,3.0,4.0,3.0,4.0,77.0,87.0,79.0,77.0,86.0,79.0,78.0,74.0,64.0,82.0,94.0,95.0,77.0,86.0,70.0,81.0,77.0,78.0,76.0,78.0,43.0,48.0,89.0,77.0,76.0,84.0,25.0,36.0,6.0,9.0,15.0,9.0,9.0,84.0
58,20,0.9,81.0,1.7,20.0,1.0,3.0,3.0,4.0,57.0,68.0,60.0,61.0,58.0,73.0,56.0,37.0,44.0,68.0,77.0,84.0,76.0,65.0,71.0,64.0,66.0,75.0,66.0,59.0,50.0,30.0,65.0,49.0,63.0,61.0,27.0,20.0,8.0,13.0,16.0,11.0,8.0,67.0
59,25,0.72,77.0,6,30.0,1.0,5.0,2.0,5.0,46.0,51.0,78.0,74.0,42.0,62.0,58.0,64.0,72.0,68.0,55.0,55.0,67.0,75.0,66.0,75.0,85.0,73.0,76.0,70.0,63.0,78.0,59.0,66.0,42.0,70.0,72.0,73.0,7.0,12.0,14.0,13.0,15.0,73.0
60,26,7.2,76.0,8.5,60.0,2.0,3.0,3.0,5.0,69.0,74.0,60.0,74.0,77.0,79.0,73.0,62.0,62.0,77.0,75.0,76.0,79.0,78.0,78.0,81.0,64.0,75.0,71.0,74.0,68.0,42.0,78.0,73.0,69.0,71.0,40.0,36.0,13.0,14.0,8.0,15.0,16.0,76.0
61,26,1.58,77.0,9,60.0,1.0,3.0,3.0,4.0,74.0,69.0,61.0,74.0,77.0,75.0,78.0,72.0,72.0,77.0,89.0,88.0,91.0,68.0,80.0,75.0,75.0,82.0,60.0,74.0,67.0,19.0,69.0,72.0,55.0,75.0,32.0,35.0,16.0,13.0,12.0,8.0,6.0,75.0
62,32,2.7,81.0,16,40.0,3.0,4.0,2.0,3.0,61.0,83.0,82.0,70.0,78.0,74.0,68.0,36.0,50.0,76.0,66.0,73.0,63.0,81.0,53.0,82.0,76.0,69.0,86.0,76.0,73.0,20.0,83.0,62.0,69.0,85.0,24.0,20.0,8.0,8.0,9.0,7.0,14.0,79.0
63,28,14.4,79.0,10,30.0,2.0,3.0,3.0,4.0,73.0,63.0,59.0,81.0,66.0,78.0,82.0,79.0,81.0,82.0,69.0,65.0,77.0,81.0,75.0,73.0,65.0,77.0,66.0,73.0,58.0,82.0,72.0,79.0,71.0,80.0,76.0,74.0,13.0,8.0,13.0,12.0,10.0,79.0
64,21,9.9,82.0,9,20.0,1.0,3.0,3.0,4.0,60.0,56.0,68.0,77.0,50.0,77.0,42.0,45.0,70.0,77.0,67.0,72.0,68.0,75.0,67.0,73.0,68.0,76.0,77.0,68.0,80.0,73.0,68.0,74.0,49.0,70.0,74.0,68.0,15.0,8.0,5.0,13.0,10.0,74.0
65,25,9.0,80.0,10.5,30.0,1.0,4.0,3.0,4.0,50.0,53.0,56.0,82.0,54.0,75.0,61.0,68.0,83.0,80.0,65.0,64.0,76.0,73.0,68.0,72.0,73.0,79.0,76.0,69.0,72.0,75.0,62.0,74.0,68.0,74.0,76.0,71.0,6.0,7.0,9.0,10.0,11.0,77.0
66,27,6.3,81.0,15,40.0,2.0,3.0,3.0,4.0,57.0,39.0,88.0,73.0,26.0,64.0,33.0,58.0,71.0,71.0,63.0,65.0,60.0,79.0,37.0,77.0,47.0,69.0,88.0,55.0,82.0,81.0,48.0,62.0,43.0,76.0,88.0,77.0,14.0,7.0,10.0,13.0,16.0,80.0
67,20,5.4,83.0,3,10.0,1.0,2.0,3.0,5.0,62.0,36.0,58.0,64.0,33.0,73.0,57.0,38.0,53.0,72.0,89.0,90.0,69.0,64.0,67.0,53.0,60.0,73.0,66.0,44.0,81.0,73.0,62.0,56.0,48.0,64.0,65.0,66.0,11.0,12.0,14.0,14.0,6.0,69.0
68,25,2.88,74.0,4.8,20.0,1.0,3.0,3.0,3.0,67.0,74.0,58.0,70.0,72.0,75.0,71.0,59.0,52.0,74.0,85.0,84.0,83.0,72.0,82.0,73.0,79.0,78.0,55.0,72.0,58.0,35.0,71.0,64.0,68.0,63.0,28.0,21.0,11.0,15.0,10.0,9.0,11.0,74.0
69,20,0.135,79.0,3.5,7.0,1.0,5.0,3.0,3.0,61.0,63.0,48.0,68.0,57.0,76.0,48.0,42.0,57.0,73.0,83.0,82.0,86.0,69.0,86.0,70.0,61.0,68.0,65.0,55.0,42.0,21.0,69.0,63.0,50.0,54.0,29.0,35.0,14.0,13.0,7.0,14.0,10.0,71.0
70,24,5.4,81.0,13,30.0,2.0,4.0,4.0,5.0,73.0,65.0,45.0,79.0,66.0,84.0,77.0,70.0,72.0,80.0,90.0,79.0,92.0,76.0,90.0,70.0,72.0,78.0,48.0,62.0,72.0,52.0,70.0,75.0,61.0,72.0,55.0,55.0,15.0,11.0,6.0,14.0,16.0,78.0
71,26,4.95,78.0,11.5,40.0,2.0,2.0,3.0,4.0,65.0,78.0,76.0,72.0,70.0,82.0,74.0,68.0,62.0,79.0,68.0,72.0,59.0,71.0,41.0,80.0,71.0,75.0,86.0,67.0,82.0,29.0,77.0,72.0,66.0,73.0,39.0,15.0,6.0,12.0,7.0,13.0,14.0,77.0
72,24,3.15,77.0,6.5,20.0,1.0,3.0,3.0,4.0,71.0,36.0,66.0,68.0,35.0,74.0,30.0,31.0,61.0,69.0,89.0,85.0,70.0,73.0,69.0,30.0,59.0,79.0,66.0,31.0,71.0,70.0,58.0,56.0,56.0,62.0,70.0,76.0,16.0,11.0,13.0,10.0,9.0,74.0
73,21,0.9,79.0,1.5,8.0,1.0,3.0,2.0,3.0,47.0,37.0,65.0,67.0,28.0,49.0,30.0,24.0,64.0,52.0,57.0,55.0,65.0,68.0,65.0,56.0,67.0,58.0,77.0,48.0,74.0,66.0,26.0,50.0,25.0,49.0,69.0,67.0,7.0,16.0,15.0,7.0,13.0,68.0
74,23,0.63,71.0,0.625,5.0,1.0,3.0,1.0,3.0,21.0,15.0,15.0,46.0,15.0,20.0,20.0,9.0,44.0,35.0,49.0,43.0,37.0,61.0,40.0,36.0,65.0,28.0,64.0,17.0,28.0,17.0,12.0,57.0,28.0,59.0,16.0,17.0,70.0,64.0,69.0,61.0,68.0,65.0
75,23,0.54,74.0,1.1,7.0,1.0,4.0,3.0,4.0,56.0,59.0,33.0,69.0,54.0,70.0,55.0,49.0,53.0,68.0,76.0,67.0,92.0,59.0,90.0,60.0,81.0,67.0,42.0,48.0,41.0,28.0,64.0,64.0,57.0,59.0,24.0,27.0,8.0,14.0,10.0,14.0,12.0,66.0
76,22,0.45,78.0,1.6,15.0,1.0,4.0,3.0,3.0,59.0,70.0,48.0,67.0,64.0,73.0,66.0,45.0,54.0,69.0,77.0,70.0,76.0,64.0,75.0,67.0,67.0,66.0,57.0,66.0,49.0,17.0,67.0,66.0,58.0,63.0,19.0,15.0,11.0,14.0,7.0,7.0,9.0,69.0
77,22,25.2,72.0,0.775,4.0,1.0,2.0,3.0,3.0,34.0,66.0,65.0,54.0,64.0,58.0,49.0,42.0,31.0,60.0,53.0,66.0,66.0,61.0,52.0,72.0,80.0,57.0,78.0,62.0,70.0,12.0,64.0,48.0,62.0,49.0,14.0,15.0,13.0,7.0,12.0,6.0,8.0,64.0
